Lesson,Date,Done,Files,Homework
"1. Strong adjectives (Part%201%20e49b-8393/1%20Strong%20adjectives%20feea0b6628d1451db63dd9382f6687ee.html) ","October 6, 2022",Done,,1) Create 8-10 question about my vacation using strong adjectives 🙂
"1. Strong adjectives (Part%201%20e49b-8393/1%20Strong%20adjectives%20feea0b6628d1451db63dd9382f6687ee.html) ","September 20, 2022",Done,,"1) Practice words in https://quizlet.com/_95klny?x=1jqt&i=172xyn

2) Write a text about an event in your life: describe what happened and how you felt - use new words from the lesson (at least 7 of them). "
"2. Family (Part%201%20e49b-8393/2%20Family%20f26b8031d0c4470bbf4d9897643aa284.html) ","October 18, 2022",Done,,1) https://wordwall.net/resource/23224664/family-ef-crossword
"2. Family (Part%201%20e49b-8393/2%20Family%20f26b8031d0c4470bbf4d9897643aa284.html) ","October 25, 2022",Done,,"1) Imagine that you need to introduce your family to a person who knows nothing about you. Introduce each member of your family, tell a few words about each of them. "
"3. Articles (Part%201%20e49b-8393/3%20Articles%20aa92ce70891c4b538b50bcd33113c3cd.html) ","November 1, 2022",Done,,"1) Articles
https://test-english.com/grammar-points/b1/an-the-no-article/
https://test-english.com/grammar-points/b1/an-the-no-article/2/
https://test-english.com/grammar-points/b1/an-the-no-article/3/
https://learningapps.org/display?v=p5gznidg221
https://learningapps.org/display?v=p03mpog3321"
"3. Articles (Part%201%20e49b-8393/3%20Articles%20aa92ce70891c4b538b50bcd33113c3cd.html) ","November 10, 2022",Done,,1) Write about 5 stereotypes that exist in our society about your profession. Pay attention to articles. Prove them or explain why they are false.
"3. Articles (Part%201%20e49b-8393/3%20Articles%20aa92ce70891c4b538b50bcd33113c3cd.html) ","November 22, 2022",Done,,"1) Watch https://en.islcollective.com/video-lessons/articles-grammar-gameshow-episode-28 and take the quiz

2) Practice articles more:
https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-72-a-an-and-the/#71
https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-73-the-1/#72
https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-74-the-2-school-the-school-etc/#73
https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-75-the-3-children-the-children/#74"
"4. Ability and possibility (Part%201%20e49b-8393/4%20Ability%20and%20possibility%20195dc4c3e4a94ac78382f2a8d06e7ab7.html) ","November 29, 2022",Done,,"1) Face2Face Workbook 7A (Part%201%20e49b-8393/4%20Ability%20and%20possibility/Face2Face%20Workbook%207A%201c9da2f177394604bf7145f18afa56ec.html) "
"5. Ability and possibility (Part 2) (Part%201%20e49b-8393/5%20Ability%20and%20possibility%20(Part%202)%207a7737e313ae437bb4e586f4410ec89c.html) ","December 6, 2022",Done,,"1) Online practice 
https://test-english.com/grammar-points/b1/can-could-be-able-to/
https://test-english.com/grammar-points/b1/can-could-be-able-to/2/
https://test-english.com/grammar-points/b1/can-could-be-able-to/3/
https://www.perfect-english-grammar.com/modal-verbs-of-ability-exercise-1.html"
"5. Ability and possibility (Part 2) (Part%201%20e49b-8393/5%20Ability%20and%20possibility%20(Part%202)%207a7737e313ae437bb4e586f4410ec89c.html) ","December 13, 2022",Done,,"1) Find some other lifehacks and tell about them next time. It should be something unusual. Be ready to share these lifehacks with me. Try to use modals of ability and possibility. 

2) https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-26-can-could-and-be-able-to/#25

3) Watch https://en.islcollective.com/english-esl-video-lessons/listening-comprehension/basic-listening-focus-on-hearing/can-or-be-able-to/luca-trailer-feelings-and-abilities/479025 and do the tasks"
