Name,Date,Tags
1. Strong adjectives,"September 20, 2022 → October 6, 2022",
2. Family,"October 18, 2022 → October 25, 2022",
3. Articles,"November 1, 2022",
4. Ability and possibility,"November 29, 2022",
5. Ability and possibility (Part 2),"December 6, 2022",
6. Adjectives ending with -ed/-ing,"December 29, 2022 → January 6, 2023",
7. Phone language + Obligation and prohibition,"January 10, 2023 → January 17, 2023",
8. Present and past habits and states,"January 31, 2023",
9. Revision,"March 15, 2023",
9. St. Valentine’s Day,"February 15, 2023",
10. Revision 2,"March 22, 2023",
11. Revision 3,"March 29, 2023",
